engine_capacity_cc,fuel_category,owner_count,car_brand,transmission_type,exterior_color,fuel_efficiency_kmpl
5000,Petrol,2,Nissan,Automatic,Black,15.98503144
1200,Diesel,3,Chevrolet,Manual,Gray,21.09382412
5000,Diesel,4,Toyota,Automatic,Blue,9.78972428
1000,Diesel,3,Chevrolet,Manual,Red,25.62623733
1000,Diesel,1,BMW,Manual,Gray,22.84417554
1200,Petrol,4,Tesla,Manual,Black,16.08530768
2500,Diesel,4,Ford,Automatic,Gray,4.316931303
1800,Petrol,2,Tesla,Manual,Silver,16.50728193
1000,Petrol,5,Kia,Manual,Black,20.18579159
2500,Diesel,2,Ford,Manual,White,17.47623513
1200,Petrol,1,Toyota,Manual,White,20.67459757
1500,Petrol,4,Kia,Manual,Silver,18.3279075
2000,Petrol,3,Tesla,Automatic,Black,16.53461048
1000,Petrol,2,Volkswagen,Manual,Red,20.3214044
1800,Diesel,1,Kia,Automatic,Red,12.43802566
5000,Electric,3,Toyota,Automatic,White,25.68827425
2000,Electric,4,Kia,Automatic,Black,24.74081702
5000,Diesel,2,Toyota,Automatic,Blue,22.81862798
1200,Petrol,5,Kia,Automatic,Red,15.0057394
1800,Electric,3,Honda,Manual,Silver,16.84493025
1800,Petrol,1,Hyundai,Manual,Silver,19.21624008
1000,Diesel,4,Ford,Manual,Blue,21.82570206
5000,Diesel,2,Toyota,Manual,Black,18.02650957
1000,Petrol,5,Nissan,Manual,Gray,22.43609117
3000,Electric,1,Kia,Manual,White,14.42951257
2500,Diesel,4,Kia,Manual,Red,14.43810912
4000,Electric,1,Kia,Automatic,Black,19.02895004
1200,Petrol,2,BMW,Manual,Silver,27.78911177
5000,Petrol,5,Hyundai,Manual,Black,17.81057517
1500,Diesel,1,Volkswagen,Manual,White,22.32774558
4000,Electric,3,Tesla,Manual,Silver,23.19149998
1500,Petrol,2,BMW,Manual,Red,15.13920101
800,Electric,1,Toyota,Automatic,Black,12.28110738
1500,Electric,4,Chevrolet,Automatic,Black,12.0390117
3000,Electric,3,Toyota,Automatic,Silver,17.04885232
800,Petrol,1,Chevrolet,Automatic,Blue,22.46438508
2000,Diesel,3,Honda,Manual,Gray,23.6886341
1500,Petrol,2,Volkswagen,Manual,White,22.49493598
3000,Electric,4,Chevrolet,Automatic,Black,12.01480853
2500,Electric,3,Kia,Manual,Silver,19.85020676
2000,Diesel,4,Hyundai,Automatic,White,15.33590396
1500,Electric,5,Chevrolet,Automatic,Silver,12.60822184
1000,Petrol,4,Volkswagen,Manual,Black,14.70584807
1500,Petrol,5,Volkswagen,Automatic,Silver,22.75697693
1200,Diesel,1,Tesla,Automatic,Black,27.74696163
4000,Petrol,4,Toyota,Automatic,Blue,12.36188774
1500,Electric,2,Volkswagen,Manual,Black,19.54181074
800,Diesel,4,Hyundai,Manual,Black,16.44263135
5000,Petrol,5,Tesla,Automatic,Red,27.22536498
1200,Petrol,2,Hyundai,Manual,Silver,20.71267375
4000,Diesel,2,Nissan,Manual,Red,17.84585792
800,Electric,1,Honda,Manual,Black,10.24601986
1200,Diesel,3,Toyota,Automatic,Silver,4.728800837
2000,Diesel,1,BMW,Manual,White,24.3919169
4000,Electric,4,Nissan,Manual,Blue,24.56569633
800,Petrol,2,Honda,Automatic,Black,21.02644313
1200,Petrol,3,Honda,Manual,Black,22.31714837
1200,Electric,2,Toyota,Manual,Blue,31.72695007
800,Electric,5,Honda,Automatic,Red,25.57928389
2500,Petrol,3,Tesla,Manual,Blue,16.01519345
1500,Petrol,1,Toyota,Manual,Blue,8.999570719
2000,Diesel,2,Hyundai,Manual,Black,22.56269853
4000,Diesel,5,Hyundai,Automatic,Black,23.31918021
1500,Petrol,3,Tesla,Automatic,Red,19.90293945
1500,Petrol,4,Ford,Manual,Blue,10.99073804
1200,Electric,1,Nissan,Manual,Red,11.05149372
1200,Petrol,4,BMW,Automatic,Blue,25.66366936
5000,Electric,5,Ford,Automatic,Blue,21.03119364
1800,Electric,5,Chevrolet,Automatic,Blue,26.01025071
800,Electric,2,Volkswagen,Automatic,Gray,18.68377757
1200,Diesel,4,Toyota,Automatic,Red,25.07341393
2500,Diesel,1,Ford,Automatic,Black,13.6613395
2000,Petrol,4,BMW,Manual,Black,18.20630329
1500,Diesel,3,Hyundai,Manual,White,22.79759448
3000,Petrol,4,Ford,Automatic,Gray,26.21152344
1200,Diesel,2,Honda,Automatic,White,17.27737865
1500,Electric,4,Chevrolet,Automatic,Black,12.78288859
1000,Diesel,4,BMW,Manual,White,10.31494784
2000,Diesel,4,Volkswagen,Manual,White,15.80983011
4000,Petrol,1,Chevrolet,Automatic,Black,15.97196081
2500,Petrol,1,Toyota,Automatic,Silver,18.9780319
1000,Petrol,4,Honda,Manual,Blue,19.04126093
4000,Electric,2,Volkswagen,Automatic,Blue,14.7948792
3000,Diesel,5,Hyundai,Manual,Red,21.15981305
4000,Electric,1,Kia,Automatic,Silver,24.99871308
1200,Diesel,4,Volkswagen,Manual,Red,18.70202328
2000,Diesel,5,Tesla,Automatic,White,24.92494518
800,Diesel,3,Tesla,Automatic,Gray,14.01518228
800,Petrol,2,Hyundai,Manual,White,13.44658999
1500,Petrol,5,Volkswagen,Manual,White,19.64096001
1500,Electric,4,Hyundai,Automatic,White,18.75270568
4000,Electric,3,Ford,Manual,Red,15.03033981
1500,Electric,5,Tesla,Automatic,Red,19.28783059
5000,Petrol,4,Chevrolet,Automatic,Black,27.55309655
1200,Diesel,3,Chevrolet,Manual,Gray,13.46331752
4000,Electric,2,Ford,Manual,Gray,13.59019686
2000,Petrol,4,Nissan,Automatic,Blue,23.79828733
800,Petrol,4,Volkswagen,Automatic,Red,25.58128211
1500,Electric,3,Honda,Manual,Silver,18.56072596
800,Diesel,5,Nissan,Automatic,Black,20.16013105
1000,Electric,5,Hyundai,Automatic,Blue,9.455758757
1500,Petrol,1,Toyota,Manual,Red,9.454473841
1500,Electric,4,BMW,Manual,Blue,30.75535595
1000,Diesel,4,Volkswagen,Automatic,Silver,13.70697365
4000,Petrol,4,Chevrolet,Automatic,Silver,21.2321091
800,Petrol,2,BMW,Manual,Red,12.74401021
1200,Electric,1,BMW,Manual,Red,21.81499374
1800,Electric,4,Hyundai,Manual,White,8.117400719
800,Petrol,4,Honda,Automatic,Silver,24.886333
1000,Petrol,4,Toyota,Automatic,White,20.77674125
1800,Petrol,4,Kia,Manual,Black,15.1896324
2500,Diesel,3,Ford,Automatic,Gray,18.32518979
4000,Petrol,5,Ford,Automatic,Gray,9.126019331
5000,Electric,1,Chevrolet,Manual,White,14.78156144
2000,Diesel,2,BMW,Manual,Red,22.21997033
1000,Diesel,5,Chevrolet,Automatic,Blue,16.53007318
1500,Diesel,3,Volkswagen,Automatic,Gray,16.1689658
5000,Petrol,4,Honda,Automatic,Black,25.07219337
5000,Petrol,3,BMW,Manual,Black,18.04395309
4000,Electric,4,Hyundai,Automatic,Black,25.23636743
1800,Electric,4,Ford,Manual,Black,17.94433646
3000,Diesel,5,Ford,Automatic,Red,19.74471559
800,Diesel,3,Chevrolet,Manual,Blue,4.39980031
1000,Electric,2,Tesla,Manual,Red,14.5697465
800,Diesel,1,Kia,Manual,White,18.69737386
1800,Diesel,1,Kia,Automatic,Black,17.37678581
2000,Electric,2,Kia,Manual,Gray,11.12614343
1500,Petrol,2,Nissan,Automatic,Red,18.16547173
1200,Diesel,1,Toyota,Automatic,Black,8.679963493
2500,Electric,1,Kia,Manual,Blue,24.23994941
1000,Petrol,1,BMW,Automatic,Red,18.69368159
4000,Diesel,1,Toyota,Automatic,Red,17.62973463
800,Electric,2,BMW,Manual,Blue,23.01284318
5000,Electric,3,Toyota,Manual,Blue,23.86588885
1800,Petrol,1,BMW,Automatic,Blue,26.59440396
800,Petrol,1,Toyota,Automatic,Red,7.310861633
4000,Diesel,3,Chevrolet,Manual,Blue,13.49644925
1000,Diesel,1,Honda,Manual,Black,22.4524035
5000,Petrol,1,BMW,Automatic,White,15.38467699
3000,Electric,5,Nissan,Automatic,Black,19.30984206
2000,Petrol,3,BMW,Manual,Silver,18.55009061
1200,Diesel,5,Kia,Manual,White,23.5346849
4000,Petrol,5,Hyundai,Manual,White,18.32952213
2000,Diesel,3,Tesla,Manual,White,11.19927957
1500,Petrol,1,Toyota,Automatic,Gray,12.31773752
5000,Electric,1,Tesla,Manual,Gray,18.79448607
1500,Diesel,5,Honda,Automatic,Gray,14.72530152
3000,Electric,1,Honda,Automatic,Gray,17.08420534
2000,Petrol,1,Nissan,Manual,Red,14.67560888
3000,Petrol,3,BMW,Manual,Silver,26.22879428
3000,Petrol,1,Chevrolet,Manual,White,20.24694187
800,Diesel,3,Chevrolet,Manual,Gray,9.14298331
2000,Electric,1,Toyota,Automatic,Red,15.51927101
1200,Electric,4,Honda,Manual,Red,25.60377278
800,Petrol,3,Kia,Manual,Gray,8.511257312
4000,Petrol,4,Volkswagen,Manual,Black,16.20624274
1200,Diesel,2,Nissan,Manual,White,18.56758983
1800,Electric,2,Volkswagen,Manual,Blue,15.37620719
1000,Electric,3,Nissan,Automatic,White,24.65039036
3000,Petrol,4,Chevrolet,Automatic,Blue,16.5661292
5000,Electric,2,Hyundai,Automatic,Silver,17.52672514
4000,Electric,1,Toyota,Manual,Red,10.0412889
800,Diesel,3,Hyundai,Manual,Gray,17.97249359
1500,Petrol,1,BMW,Automatic,White,24.31715423
2000,Electric,4,Ford,Manual,White,21.98266227
800,Electric,4,Kia,Automatic,White,15.01789234
5000,Electric,4,Honda,Automatic,Silver,9.48936167
800,Electric,4,Toyota,Manual,Silver,10.49109873
1200,Electric,2,BMW,Manual,Silver,22.66365374
1800,Electric,1,Hyundai,Automatic,Blue,19.34254386
1500,Diesel,2,Honda,Automatic,Black,11.40425822
800,Electric,4,Hyundai,Automatic,Red,10.67601444
2000,Electric,2,Chevrolet,Automatic,Red,12.98712879
1000,Petrol,5,Chevrolet,Automatic,Red,17.75183619
3000,Petrol,2,BMW,Manual,Blue,12.20877089
1000,Petrol,3,Nissan,Manual,White,16.06423341
800,Electric,1,Volkswagen,Automatic,Gray,20.08491236
2500,Diesel,5,Tesla,Automatic,Silver,17.01388563
1500,Electric,2,Tesla,Manual,White,25.53361361
2000,Electric,4,Volkswagen,Automatic,White,16.9537997
1500,Diesel,5,BMW,Automatic,Silver,15.5921444
4000,Electric,3,Toyota,Manual,Blue,13.29038887
2500,Diesel,1,Volkswagen,Automatic,Black,25.25594801
1000,Diesel,2,Toyota,Manual,Blue,24.50662811
2000,Electric,2,Toyota,Automatic,Black,12.68478114
2500,Electric,1,Nissan,Automatic,White,20.02535675
4000,Petrol,1,Chevrolet,Automatic,Gray,17.78970133
4000,Electric,5,Ford,Manual,White,14.42528824
2500,Electric,3,Nissan,Automatic,Blue,23.59742172
800,Petrol,5,Nissan,Manual,Gray,17.2398437
1000,Electric,1,Nissan,Manual,White,18.69762019
3000,Electric,2,Kia,Manual,White,29.00008945
3000,Electric,1,Nissan,Manual,White,20.07635065
4000,Electric,2,BMW,Automatic,Red,25.84284859
1200,Petrol,5,Volkswagen,Automatic,Blue,11.34085246
2000,Electric,2,Tesla,Manual,White,22.71852697
3000,Petrol,4,Honda,Manual,White,17.21372092
1500,Electric,2,Toyota,Automatic,Black,25.34711402
1000,Diesel,3,Honda,Automatic,Silver,15.22897876
2000,Electric,2,Kia,Manual,Blue,11.80512139
3000,Petrol,5,Ford,Automatic,Blue,19.5530399
1000,Diesel,5,Tesla,Manual,Silver,21.68156054
1200,Petrol,3,Tesla,Automatic,Red,12.0414869
2500,Diesel,5,Ford,Automatic,Black,20.39625753
5000,Petrol,1,Kia,Automatic,Red,22.26529622
1200,Diesel,4,Ford,Automatic,Red,22.6021732
4000,Petrol,5,BMW,Manual,Silver,13.30432832
1800,Diesel,1,BMW,Manual,Gray,23.8367982
1200,Diesel,1,Chevrolet,Automatic,Red,15.93931475
4000,Diesel,3,Nissan,Manual,White,19.15110231
2000,Diesel,3,Chevrolet,Manual,White,19.11600718
1000,Diesel,4,Hyundai,Automatic,Silver,16.47436925
2000,Petrol,5,Ford,Manual,White,20.37364718
1800,Petrol,3,Kia,Manual,White,21.41458069
1000,Petrol,4,Ford,Automatic,White,15.97295762
3000,Diesel,5,BMW,Manual,Red,27.39686586
1000,Diesel,2,Chevrolet,Manual,Red,17.5928239
2000,Diesel,4,BMW,Automatic,Black,19.75396931
1500,Electric,2,Honda,Automatic,Blue,9.304640002
2500,Petrol,1,Honda,Automatic,Silver,17.7144426
4000,Petrol,3,Ford,Automatic,Gray,16.22033128
3000,Electric,3,Ford,Automatic,Silver,6.837810818
1200,Petrol,2,Ford,Manual,Silver,24.40191111
5000,Petrol,5,Volkswagen,Automatic,Red,15.42504409
800,Petrol,4,Hyundai,Automatic,Blue,18.64854944
2000,Petrol,3,BMW,Manual,Red,22.63697609
1500,Petrol,2,Honda,Manual,Blue,17.6790552
1200,Electric,1,Kia,Automatic,Gray,21.48833942
1200,Electric,3,Toyota,Automatic,Gray,15.23253892
4000,Electric,2,Ford,Manual,Red,19.00663101
1000,Electric,2,Tesla,Manual,Black,24.89805998
1200,Electric,2,Chevrolet,Manual,Gray,22.45876005
4000,Petrol,4,Volkswagen,Automatic,Blue,23.31231832
3000,Petrol,1,Ford,Manual,Black,22.62435128
5000,Diesel,3,Chevrolet,Manual,Red,14.22356518
2000,Petrol,3,Kia,Automatic,Gray,16.99486549
1000,Petrol,5,Kia,Automatic,Blue,16.89465856
2000,Diesel,1,Toyota,Automatic,Blue,13.59415976
5000,Electric,4,Chevrolet,Manual,Blue,21.57752595
3000,Electric,5,Tesla,Automatic,Black,23.10968708
1500,Petrol,2,Volkswagen,Automatic,Black,20.63235639
2000,Petrol,4,Tesla,Automatic,Red,16.53798894
5000,Diesel,5,Hyundai,Manual,Blue,24.67057106
3000,Electric,4,Kia,Automatic,Blue,15.1809105
2500,Diesel,4,Chevrolet,Automatic,Silver,19.66154396
800,Electric,5,Chevrolet,Automatic,White,13.41877162
4000,Diesel,2,Hyundai,Manual,Blue,23.85905415
2500,Electric,5,Ford,Automatic,Silver,21.67121743
2000,Diesel,2,Toyota,Manual,White,16.85802829
5000,Electric,4,Volkswagen,Automatic,White,15.69868829
2500,Diesel,4,Toyota,Automatic,White,17.66684574
1000,Electric,5,Tesla,Manual,Gray,25.35458909
2000,Petrol,5,Honda,Manual,Silver,5.670685302
1500,Diesel,2,BMW,Automatic,Gray,21.89109539
1500,Electric,2,Volkswagen,Automatic,Black,15.09953595
3000,Diesel,5,Tesla,Manual,Blue,16.64942315
3000,Petrol,1,Volkswagen,Manual,Black,23.87234126
1000,Electric,1,Kia,Automatic,White,17.37866469
1200,Electric,3,BMW,Automatic,Silver,17.16993156
800,Electric,4,Honda,Manual,Gray,14.11682528
3000,Petrol,4,Volkswagen,Manual,Red,25.02509634
1200,Electric,1,Toyota,Manual,Black,22.34353206
1500,Petrol,5,Ford,Manual,Silver,15.01562936
1500,Petrol,5,Tesla,Automatic,Silver,19.21381648
1200,Electric,3,Volkswagen,Automatic,Black,19.35311663
1500,Electric,2,Chevrolet,Manual,Blue,14.4555576
4000,Petrol,3,Nissan,Automatic,Silver,10.58876217
